author,price,rating,title
", ",65,148,"Machine Learning for Signal Processing: Data Science, Algorithms, and Computational Statistics"
Richard Dawkins - foreword,42,68,"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines"
", et al.",24,"1,061",Archive
Chris Albon,0,90,"Engineering MLOps: Rapidly build, test, and manage production-ready machine learning life cycles at scale"
Alessandro Marrandino,75,2,TinyML: Machine Learning with TensorFlow Lite on Arduino and Ultra-Low-Power Microcontrollers
Carl Edward Rasmussen,42,93,Bayesian Reasoning and Machine Learning
 and ,49,1,Deep Learning with Python
Christopher K. I. Williams,63,5,"Fundamentals of Machine Learning for Predictive Data Anayltics: Algorithms, Worked Examples, and Case Studies"
Dursun Delen,94,14,Machine Learning with Dynamics 365 and Power Platform: The Ultimate Guide to Apply Predictive Analytics
Jerry Ramonyai,27,2,"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning"
Simon Haykin,49,252,"Machine Learning: Machine Learning For Absolute Beginners, Finance, Business Math, Statistics, Python, Algorithms, Applications, Theory, Design Patterns, Engineering, Excel, Math & Mathematics."
Max A. Little,1,17,Machine Learning for Risk Calculations: A Practitioner's View (The Wiley Finance Series)
Kirill Kolodiazhnyi,58,139,"Machine Learning in Asset Pricing (Princeton Lectures in Finance, 1)"
Emmanuel Raj,140,13,Data Mining and Machine Learning: Fundamental Concepts and Algorithms
Pete Warden,0,36,Machine Learning In Computational Finance: Practical algorithms for building artificial intelligence applications
 and ,0,35,"Machine Learning for Sustainable Development (De Gruyter Frontiers in Computational Intelligence, 9)"
Daniel Situnayake,51,3,"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow"
David Barber,34,9,AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide: The definitive guide to passing the MLS-C01 exam on the very first attempt
Francois Chollet,44,29,The Secret Life of Chaos
John D. Kelleher,36,16,"Graph Representation Learning (Synthesis Lectures on Artificial Intelligence and Machine Learning, 46)"
", ",44,65,Game Theory and Machine Learning for Cyber Security
Kai R. Larsen,17,2,Automated Machine Learning for Business
 and ,29,2,Introduction to Statistical and Machine Learning Methods for Data Science
Daniel S. Becker,19,14,Python Machine Learning Workbook for Beginners: 10 Machine Learning Projects Explained from Scratch
Dr. Carlos Andre Reis Andre Reis Pinheiro,0,1,Applied Machine Learning
 and ,69,21,"Machine Learning: Machine Learning For Absolute Beginners, Finance, Business Math, Statistics, Python, Algorithms, Applications, Theory, Design Patterns, Engineering, Excel, Math & Mathematics."
Mike Patetta,105,7,"Validity, Reliability, and Significance: Empirical Methods for Nlp and Data Science (Synthesis Lectures on Human Language Technologies)"
David Forsyth,99,771,Intelligence-Based Medicine: Artificial Intelligence and Human Cognition in Clinical Medicine and Healthcare
Jerry Ramonyai,110,42,Behavior Analysis with Machine Learning Using R (Chapman & Hall/CRC The R Series)
Stefan Riezler,34,349,Machine Learning Under a Modern Optimization Lens
 and ,31,33,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World
Michael Hagmann,22,67,"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition"
Anthony C. Chang,15,105,Reinforcement Learning: An Introduction (Adaptive Computation and Machine Learning series)
Dimitris Bertsimas,32,22,Deep Learning Interviews: Hundreds of fully solved job interview questions from a wide range of key topics in AI.
 and ,0,113,Machine Learning: The Art and Science of Algorithms that Make Sense of Data
Jack Dunn,98,4,"Introducing HR Analytics with Machine Learning: Empowering Practitioners, Psychologists, and Organizations"
Pedro Domingos,49,15,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions"
Stephen Klosterman,110,25,"Machine Learning: Machine Learning For Absolute Beginners, Finance, Business Math, Statistics, Python, Algorithms, Applications, Theory, Design Patterns, Engineering, Excel, Math & Mathematics."
